"id","condition","stimulus","key","response","RT","correct"
"2002","Memorized","<h1>door</h1>","y","y",789,1
"2002","Unrelated_Unmemorized","<h1>fast</h1>","n","n",1166,1
"2002","Unrelated_Unmemorized","<h1>boy</h1>","n","n",781,1
"2002","Memorized","<h1>glass</h1>","y","y",501,1
"2002","Related_Unmemorized","<h1>window</h1>","n","y",632,0
"2002","Unrelated_Unmemorized","<h1>snow</h1>","n","n",544,1
"2002","Memorized","<h1>cake</h1>","y","y",996,1
"2002","Unrelated_Unmemorized","<h1>climb</h1>","n","n",575,1
"2002","Unrelated_Unmemorized","<h1>pin</h1>","n","n",547,1
"2002","Memorized","<h1>chocolate</h1>","y","y",451,1
"2002","Unrelated_Unmemorized","<h1>sit</h1>","n","n",578,1
"2002","Unrelated_Unmemorized","<h1>calm</h1>","n","n",587,1
"2002","Unrelated_Unmemorized","<h1>smooth</h1>","n","n",787,1
"2002","Unrelated_Unmemorized","<h1>show</h1>","n","n",491,1
"2002","Memorized","<h1>sugar</h1>","y","y",509,1
"2002","Related_Unmemorized","<h1>sweet</h1>","n","y",397,0
"2002","Memorized","<h1>honey</h1>","y","y",572,1
"2002","Memorized","<h1>taste</h1>","y","y",485,1
"2002","Unrelated_Unmemorized","<h1>sound</h1>","n","n",805,1
"2002","Unrelated_Unmemorized","<h1>crown</h1>","n","n",618,1
"2002","Unrelated_Unmemorized","<h1>thread</h1>","n","n",565,1
"2002","Memorized","<h1>swim</h1>","y","y",554,1
"2002","Memorized","<h1>Mississippi</h1>","y","y",526,1
"2002","Unrelated_Unmemorized","<h1>robber</h1>","n","n",709,1
"2002","Unrelated_Unmemorized","<h1>fear</h1>","n","n",587,1
"2002","Related_Unmemorized","<h1>river</h1>","n","y",669,0
"2002","Memorized","<h1>flow</h1>","y","y",442,1
"2002","Unrelated_Unmemorized","<h1>hot</h1>","n","n",663,1
"2002","Memorized","<h1>barge</h1>","y","y",787,1
"2002","Memorized","<h1>brook</h1>","y","n",1094,0
"ss3998","Memorized","<h1>swim</h1>","y","y",1529,1
"ss3998","Unrelated_Unmemorized","<h1>sound</h1>","n","n",1291,1
"ss3998","Memorized","<h1>barge</h1>","y","n",1633,0
"ss3998","Memorized","<h1>flow</h1>","y","n",1249,0
"ss3998","Unrelated_Unmemorized","<h1>crown</h1>","n","n",737,1
"ss3998","Memorized","<h1>brook</h1>","y","y",775,1
"ss3998","Unrelated_Unmemorized","<h1>robber</h1>","n","n",600,1
"ss3998","Memorized","<h1>Mississippi</h1>","y","y",670,1
"ss3998","Unrelated_Unmemorized","<h1>fear</h1>","n","n",655,1
"ss3998","Unrelated_Unmemorized","<h1>hot</h1>","n","n",671,1
"ss3998","Unrelated_Unmemorized","<h1>thread</h1>","n","n",641,1
"ss3998","Related_Unmemorized","<h1>river</h1>","n","y",719,0
"ss3998","Related_Unmemorized","<h1>high</h1>","n","y",1007,0
"ss3998","Memorized","<h1>above</h1>","y","y",740,1
"ss3998","Unrelated_Unmemorized","<h1>table</h1>","n","n",684,1
"ss3998","Unrelated_Unmemorized","<h1>valley</h1>","n","n",664,1
"ss3998","Unrelated_Unmemorized","<h1>toe</h1>","n","n",559,1
"ss3998","Unrelated_Unmemorized","<h1>steal</h1>","n","n",572,1
"ss3998","Memorized","<h1>tower</h1>","y","y",522,1
"ss3998","Unrelated_Unmemorized","<h1>insect</h1>","n","n",714,1
"ss3998","Memorized","<h1>low</h1>","y","n",1233,0
"ss3998","Memorized","<h1>clouds</h1>","y","y",565,1
"ss3998","Unrelated_Unmemorized","<h1>note</h1>","n","n",606,1
"ss3998","Memorized","<h1>up</h1>","y","n",1213,0
"ss3998","Memorized","<h1>banana</h1>","y","y",1300,1
"ss3998","Unrelated_Unmemorized","<h1>hill</h1>","n","n",621,1
"ss3998","Unrelated_Unmemorized","<h1>white</h1>","n","n",806,1
"ss3998","Memorized","<h1>citrus</h1>","y","y",656,1
"ss3998","Unrelated_Unmemorized","<h1>light</h1>","n","n",553,1
"ss3998","Memorized","<h1>orange</h1>","y","y",670,1
